8323CSTAD,Mouk Makara,2004-12-07,Java,Java,2024-05-13
8718CSTAD,Student8,2007-08-08,Class3,Subject8,2024-05-13
6849CSTAD,Student7,2006-07-07,Class2,Subject7,2024-05-13
8807CSTAD,Student9,2008-09-09,Class4,Subject1,2024-05-13
2645CSTAD,Student3,2002-03-03,Class3,Subject3,2024-05-13
8439CSTAD,Student11,2010-11-11,Class1,Subject3,2024-05-13
7761CSTAD,Student2,2001-02-02,Class2,Subject2,2024-05-13
1585CSTAD,Student1,2000-01-01,Class1,Subject1,2024-05-13
8732CSTAD,Student4,2003-04-04,Class4,Subject4,2024-05-13
5617CSTAD,Student6,2005-06-06,Class1,Subject6,2024-05-13
1228CSTAD,Student5,2004-05-05,Class5,Subject5,2024-05-13
371CSTAD,Student12,2011-12-12,Class2,Subject4,2024-05-13
9561CSTAD,Student13,2012-01-13,Class3,Subject5,2024-05-13
1828CSTAD,Student14,2013-02-14,Class4,Subject6,2024-05-13
3875CSTAD,Student15,2014-03-15,Class5,Subject7,2024-05-13
7349CSTAD,Student16,2015-04-16,Class1,Subject8,2024-05-13
9924CSTAD,Student17,2016-05-17,Class2,Subject1,2024-05-13
4837CSTAD,Student18,2017-06-18,Class3,Subject2,2024-05-13
741CSTAD,Student19,2018-07-19,Class4,Subject3,2024-05-13
9987CSTAD,Student20,2019-08-20,Class5,Subject4,2024-05-13
113CSTAD,Student10,2009-10-10,Class5,Subject2,2024-05-13
4566CSTAD,Pon Channarith,2003-12-12,C++,C++,2024-05-13
3235CSTAD,Student1,2000-01-01,Class1,Subject1,2024-05-13
741CSTAD,Student2,2001-02-02,Class2,Subject2,2024-05-13
458CSTAD,Student3,2002-03-03,Class3,Subject3,2024-05-13
1137CSTAD,Student4,2003-04-04,Class4,Subject4,2024-05-13
6906CSTAD,Student5,2004-05-05,Class5,Subject5,2024-05-13
4533CSTAD,Student6,2005-06-06,Class1,Subject6,2024-05-13
6100CSTAD,Student7,2006-07-07,Class2,Subject7,2024-05-13
6517CSTAD,Student8,2007-08-08,Class3,Subject8,2024-05-13
5933CSTAD,Student9,2008-09-09,Class4,Subject1,2024-05-13
1966CSTAD,Student10,2009-10-10,Class5,Subject2,2024-05-13
719CSTAD,Student1,2000-01-01,Class1,Subject1,2024-05-13
6665CSTAD,Student2,2001-02-02,Class2,Subject2,2024-05-13
1465CSTAD,Student3,2002-03-03,Class3,Subject3,2024-05-13
5265CSTAD,Student4,2003-04-04,Class4,Subject4,2024-05-13
886CSTAD,Student5,2004-05-05,Class5,Subject5,2024-05-13
6943CSTAD,Student1,2000-01-01,Class1,Subject1,2024-05-13
3493CSTAD,Student2,2001-02-02,Class2,Subject2,2024-05-13
7616CSTAD,Student3,2002-03-03,Class3,Subject3,2024-05-13
